location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira,source
Ikate Lekki Lagos,3.0,3.0,,,House FOR Rent,10000000/year,propertypro
Oral Extension Estate Oral Estate Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,3500000/year,propertypro
Royal Pine Estate Orchid Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,4000000/year,propertypro
Ikate Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,3500000/year,propertypro
Emcel Garden Orchid Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,1300000/year,propertypro
Lekki Phase 1 Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,5000000/year,propertypro
Maple Estate Orchid Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,700000/year,propertypro
Victoria Bay Estate Orchid Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,1500000/year,propertypro
Ikate Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,3000000/year,propertypro
Emcel Garden Orchid Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,1800000/year,propertypro
Royal Pine Estate Orchid Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,1600000/year,propertypro
Mobolaji Johnson Street Old Ikoyi Ikoyi Lagos,2.0,3.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Phase 1 Estate Osborne Foreshore Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,40000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,55000000/year,propertypro
Southwest Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,$,propertypro
Louis Solomon Close Victoria Island Lagos,,,,,Commercial Property FOR Rent,550000/sqm,propertypro
Victoria Island Victoria Island Lagos,,,,,Commercial Property FOR Rent,$,propertypro
Victoria Island Lagos,,,,,Commercial Property FOR Rent,150000000/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,3.0,3.0,,,Flat / Apartment FOR RENT,49900000/year,propertypro
"Alimosho Lga, Egbe Ikotun Igando Lagos",,5.0,,,Commercial Property FOR Rent,30000/sqm,propertypro
Walter Carrington Crescent Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,$,propertypro
Infinity Estate Ado Ajah Lagos,2.0,3.0,,,Flat Apartment FOR Rent,3000000/year,propertypro
Royal Palmwill Estate Badore Ajah Lagos,3.0,4.0,,,House FOR Rent,3500000/year,propertypro
Victoria Island Lagos,3.0,4.0,,,Flat Apartment FOR Rent,35000000/year,propertypro
Ikoyi Lagos,1.0,2.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,5.0,,,Flat Apartment FOR Rent,65000000/year,propertypro
Lekki Phase 1 Lekki Lagos,4.0,5.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Victoria Island Lagos,3.0,4.0,,,Flat Apartment FOR Rent,45000000/year,propertypro
Admiralty Road Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,6000000/year,propertypro
Hopeville Estate Sangotedo Ajah Lagos,2.0,2.0,,,House FOR Rent,3000000/year,propertypro
Aguda Surulere Lagos,2.0,2.0,,,Flat Apartment FOR Rent,4000000/year,propertypro
Ajao Estate Isolo Lagos,1.0,,,,Flat Apartment FOR Rent,1200000/year,propertypro
Old Ikoyi Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Lakowe Ajah Lagos,2.0,,,,Flat Apartment FOR Rent,1500000/year,propertypro
Gowon Estate Egbeda Alimosho Lagos,3.0,3.0,,,House FOR Rent,3000000/year,propertypro
Off International Airport Road Ajao Estate Isolo Lagos,1.0,,,,Flat Apartment FOR Rent,2000000/year,propertypro
"Chevron Alternative Route, Chevron Lekki Lagos",2.0,2.0,,,Flat Apartment FOR Rent,7000000/year,propertypro
Off Ninalowo Olarenwaju Street Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR RENT,25000000/year,propertypro
Bridgegate Estate Agungi Lekki Lagos,2.0,,,,Flat Apartment FOR Rent,5000000/year,propertypro
Orchid Road Orchid Lekki Lagos,1.0,,,,Flat Apartment FOR Rent,1400000/year,propertypro
Ikota Lekki Lagos,5.0,,,,House FOR Rent,27000000/year,propertypro
Chevron Lekki Lagos,4.0,,,,House FOR Rent,10000000/year,propertypro
Osapa London Lekki Lagos,3.0,,,,House FOR Rent,5000000/year,propertypro
"Novojo Estate, Sangotedo Ajah Lagos",1.0,1.0,,,Flat Apartment FOR Rent,4500000/year,propertypro
Eleganza Garden Opposite Vgc Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,4000000/year,propertypro
"Ayo Babatunde Street, Lekki Phase 1 Lekki Lagos",3.0,3.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
"Off Admiralty Way, Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",4.0,4.0,,,House FOR Rent,25000000/year,propertypro
Parkview Estate Ikoyi Lagos,3.0,3.0,,,Flat / Apartment FOR SHORTLET,200000/day,propertypro
"Lekki Phase 1, Lagos. Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,30000000/year,propertypro
Lekki Phase 1 Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,8000000/year,propertypro
"Directly Facing A Busy Road @ Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,3500000/year,propertypro
"By Admiralty, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,10000000/year,propertypro
"Close To Admiralty Way, Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",3.0,3.0,,,House FOR Rent,30000000/year,propertypro
"Off Admiralty Way, Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,4000000/year,propertypro
On A Prime Road @ Lekki Phase 1 Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,12000000/year,propertypro
Facing A Busy Commercial Road @ Lekki Phase 1 Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,14000000/year,propertypro
"Directly Facing A Busy Road @ Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,7500000/year,propertypro
Macaulay Igbogbo Ikorodu Lagos,,,,,Flat Apartment FOR Rent,350000/year,propertypro
"Road 6, Agunfoye Junction Igbogbo Ikorodu Lagos",1.0,1.0,,,Flat Apartment FOR Rent,500000/year,propertypro
Adekunle Fajuyi Ikeja Gra Ikeja Lagos,,,,226.0,Land FOR Rent,1000000000/year,propertypro
"Olumo,oreyo Igbogbo Ikorodu Lagos",1.0,1.0,,,Flat Apartment FOR Rent,300000/year,propertypro
Fawole Estate Igbogbo Ikorodu Lagos,1.0,1.0,,,Flat Apartment FOR Rent,700000/year,propertypro
Akora Estate Adeniyi Jones Ikeja Lagos,,,,0.0,Land FOR Rent,700000000/year,propertypro
River Valley Estate Ojodu Lagos,,,,0.0,Land FOR Rent,1200000000/sqm,propertypro
Ikeja Gra Ikeja Lagos,,,,62.0,Land FOR Rent,1800000000/year,propertypro
Alausa Ikeja Lagos,,,,300.0,Land FOR Rent,800000000/year,propertypro
Wagbare Igbogbo Ikorodu Lagos,3.0,3.0,,,Flat Apartment FOR Rent,1000000/year,propertypro
Oreyo Igbogbo Ikorodu Lagos,1.0,1.0,,,Flat Apartment FOR Rent,650000/year,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,House FOR SHORTLET,5000000/month,propertypro
Agungi Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,10000000/year,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Osapa London Lekki Lagos,4.0,4.0,,,House FOR Rent,15000000/year,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,Flat / Apartment FOR RENT,200000/day,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,9500000/year,propertypro
Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,11000000/year,propertypro
Ikoyi Lagos,4.0,4.0,,,House FOR Rent,35000000/year,propertypro
Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Vgc Lekki Lagos,4.0,4.0,,,House FOR Rent,8500000/year,propertypro
Igbo Efon Lekki Lagos,5.0,5.0,,,House FOR Rent,25000000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,6000000/year,propertypro
Van Daniel Estate Orchid Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,2500000/year,propertypro
Ikate Lekki Lagos,5.0,5.0,,,House FOR SALE,900000000,propertypro
Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Phase 1 Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR Rent,25000000/year,propertypro
Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,12000000/year,propertypro
Fountain Spring Estate Sangotedo Ajah Lagos,4.0,4.0,,,House FOR Rent,11000000/year,propertypro
Oniru Estates Oniru Victoria Island Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
Osapa Osapa London Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,7500000/year,propertypro
Banana Island Ikoyi Lagos,3.0,2.0,,,Flat Apartment FOR Rent,60000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,House FOR Rent,50000000/year,propertypro
Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,40000000/year,propertypro
Old Ikoyi Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,47200000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat / Apartment FOR RENT,50000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,55000000/year,propertypro
Banana Island Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,60000000/year,propertypro
Victoria Island Lagos,1.0,1.0,,,Flat Apartment FOR Rent,51200000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,100000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,55000000/year,propertypro
Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,40000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,60000000/year,propertypro
Banana Island Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,75000000/year,propertypro
Banana Island Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,60000000/year,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,House FOR SHORTLET,5000000/month,propertypro
Lekki Phase 1 Lekki Lagos,4.0,4.0,,,Commercial Property FOR Rent,30000000/year,propertypro
Parkview Estate Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,25000000/year,propertypro
Oniru Victoria Island Lagos,2.0,2.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Victoria Island Lagos,4.0,4.0,,,Flat Apartment FOR Rent,45000000/year,propertypro
Lekki Phase 1 Lekki Lagos,5.0,,,,Commercial Property FOR Rent,45000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,35000000/year,propertypro
Lekki Phase 1 Lekki Lagos,4.0,,,,Commercial Property FOR Rent,25000000/year,propertypro
Victoria Island Lagos,2.0,2.0,,,Flat Apartment FOR Rent,50000000/year,propertypro
Idado Estate Lekki Lagos,3.0,4.0,,,Flat Apartment FOR Rent,4000000/year,propertypro
"Fatai Kudirat Estate, Agungi Lekki Lagos",1.0,2.0,,,Flat Apartment FOR Rent,2300000/year,propertypro
Royal Palmwill Estate Ajah Lagos,,,,,Commercial Property FOR Rent,500000/year,propertypro
Badore Major Road Ajah Lagos,,,,,Commercial Property FOR Rent,4500000/year,propertypro
Abraham Adesanya Ajah Lagos,1.0,1.0,,,Flat Apartment FOR Rent,650000/year,propertypro
Abraham Adesanya Ajah Lagos,2.0,3.0,,,Flat Apartment FOR Rent,2500000/year,propertypro
Ajiran Road Lekki Lagos,1.0,2.0,,,Flat Apartment FOR Rent,2400000/year,propertypro
Glorious Estate Ajah Lagos,2.0,3.0,,,House FOR Rent,2500000/year,propertypro
Ado Road Ajah Lagos,1.0,2.0,,,Flat Apartment FOR Rent,1000000/year,propertypro
Langbasa Ajah Lagos,2.0,3.0,,,Flat Apartment FOR Rent,2500000/year,propertypro
Ado Road Ajah Lagos,1.0,2.0,,,Flat Apartment FOR Rent,1500000/year,propertypro
Mobile Road Ajah Lagos,3.0,4.0,,,Flat Apartment FOR Rent,3500000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat / Apartment FOR SALE,195000000,propertypro
Salvation Estate Langbasa Ajah Lagos,1.0,2.0,,,Flat Apartment FOR Rent,1200000/year,propertypro
Salvation Estate Langbasa Ajah Lagos,1.0,2.0,,,Flat Apartment FOR Rent,1500000/year,propertypro
Palm Crescent Estate Ajah Lagos,2.0,3.0,,,Flat Apartment FOR Rent,2200000/year,propertypro
Salvation Estate Langbasa Ajah Lagos,1.0,2.0,,,Flat Apartment FOR Rent,1050000/year,propertypro
Peace Estate Badore Ajah Lagos,2.0,3.0,,,Flat Apartment FOR Rent,1500000/year,propertypro
Ologolo Lekki Lagos,1.0,2.0,,,Flat Apartment FOR Rent,5000000/year,propertypro
"Fatai Kudirat Estate, Agungi Lekki Lagos",1.0,2.0,,,Flat Apartment FOR Rent,3000000/year,propertypro
Ologolo Lekki Lagos,,,,,Co Working Space FOR Rent,100000/day,propertypro
Illasan Lekki Lagos,2.0,3.0,,,Flat Apartment FOR Rent,15000000/year,propertypro
Ologolo Lekki Lagos,2.0,3.0,,,House FOR Rent,80000000,propertypro
Unity Estate Ajah Lagos,1.0,2.0,,,Flat Apartment FOR Rent,1200000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,House FOR RENT,14000000/year,propertypro
4 Bedroom Apartment For Rent Ikoyi Lagos,4.0,4.0,,,House FOR Rent,30000000/year,propertypro
4 Bedroom Terrace For Rent Ikota Lekki Lagos,4.0,4.0,,,House FOR Rent,7500000/year,propertypro
1 Bedroom Apartment For Rent Oniru Victoria Island Lagos,1.0,1.0,,,Flat Apartment FOR Rent,8000000/year,propertypro
Ajah Lagos,4.0,4.0,,,House FOR Rent,8000000/year,propertypro
2 Bedroom Apartment For Rent Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,7000000/year,propertypro
4 Bedroom Terrace For Rent Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR Rent,25000000,propertypro
4 Bedroom Duplex For Rent Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,10000000/year,propertypro
Chevron Lekki Lagos,4.0,4.0,,,House FOR Rent,15000000,propertypro
Studio Apartment For Rent Ikate Lekki Lagos,,,,,Flat Apartment FOR Rent,7000000,propertypro
4 Bedroom Duplex For Rent (can Be Used For Commercial) Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR Rent,25000000/year,propertypro
2 Bedroom Apartment For Rent Ikate Lekki Lagos,2.0,2.0,,,House FOR Rent,6500000/year,propertypro
Orchid Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,7000000/year,propertypro
