location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Banana Island Ikoyi Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Lekki Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Ikoyi Lagos,,,,,LAND,
Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Victoria Island Lagos,,,1,,COMMERCIAL PROPERTY,
Banana Island Ikoyi Lagos,5,5,6,,5 BEDROOM HOUSE,
Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Ikate Elegushi Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Guzape Abuja Phase 1 Abuja,3,3,4,,3 BEDROOM TERRACED DUPLEX,
Ikate Lekki Phase One Lekki Phase 1 Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS For Sale,
Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Old Ikoyi Ikoyi Lagos,,,,,LAND,
Banana Island Ikoyi Lagos,4,4,5,,4 BEDROOM BLOCK OF FLATS,
Victoria Island Lagos,,,,,LAND,
Old Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Banana Island Ikoyi Lagos,1,1,2,,1 BEDROOM SHARED APARTMENT,
Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Ikoyi Lagos,4,4,5,,4 BEDROOM BLOCK OF FLATS,
Ikoyi Lagos,1,1,2,,1 BEDROOM SHARED APARTMENT,
Banana Island Ikoyi Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lagos,3,3,4,,3 BEDROOM SHARED APARTMENT,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM MAISONETTE,
Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
Oniru Estate Oniru Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Mabushi Abuja Phase 1 Abuja,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Victoria Island Lagos,,,,,LAND,
Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Victoria Island Lagos,4,4,5,,4 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lagos,3,3,4,,3 BEDROOM COMMERCIAL PROPERTY,
Banana Island Ikoyi Lagos,2,2,3,,2 BEDROOM SHARED APARTMENT,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Lekki Phase 1 Lekki Lagos,10,10,10,,10 BEDROOM TERRACED DUPLEX,
Victoria Island Lagos,,,,,LAND,
Chevron Drive Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM SHARED APARTMENT,
Ikoyi Lagos,,1,1,,OFFICE,
Banana Island Ikoyi Lagos,3,3,4,,3 BEDROOM SHARED APARTMENT,
Ikoyi Lagos,3,3,4,,3 BEDROOM SHARED APARTMENT,
Banana Island Ikoyi Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Old Ikoyi Lagos,3,3,4,,3 BEDROOM FLAT & APARTMENT,
Ikoyi Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Asokoro Abuja Phase 1 Abuja,3,3,4,,3 BEDROOM SHARED APARTMENT,
Lekki Phase 1 Lekki Lagos,1,,,,1 BEDROOM MINI FLAT,
Ikoyi Lagos,3,3,4,,3 BEDROOM SHARED APARTMENT,
Victoria Island Lagos,,,,,COMMERCIAL PROPERTY,
Lekki Phase 1 Lekki Lagos,5,5,6,,5 BEDROOM SEMI DETACHED DUPLEX,
Ikoyi Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM TERRACED DUPLEX,
Oniru Victoria Island Lagos,4,4,5,,4 BEDROOM DUPLEX,
Ikoyi Lagos,3,3,4,,3 BEDROOM SHARED APARTMENT,
Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Victoria Island Lagos,6,6,7,,6 BEDROOM DETACHED DUPLEX,
Old Ikoyi Ikoyi Lagos,,,,,LAND,
Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM SHARED APARTMENT,
Victoria Island Lagos,,,,,LAND,
Banana Island Road Ikoyi Lagos,4,4,5,,4 BEDROOM FLAT & APARTMENT,
Old Ikoyi Ikoyi Lagos,,,,,JOINT VENTURE LAND,
Old Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM SHARED APARTMENT,
Victoria Island Lagos,5,5,6,,5 BEDROOM DETACHED DUPLEX,
Lekki Phase 1 Lekki Lagos,2,2,3,,2 BEDROOM SHARED APARTMENT,
Oniru Victoria Island Lagos,1,1,2,,1 BEDROOM FLAT & APARTMENT,
Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM COMMERCIAL PROPERTY,
Banana Island Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Victoria Island Lagos,4,4,5,,4 BEDROOM BLOCK OF FLATS,
Old Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,6,6,7,,6 BEDROOM SEMI DETACHED DUPLEX,
Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Phase 1 By Freedom Way Lekki Phase 1 Lagos,4,5,5,,4 BEDROOM TERRACE For Sale,
Oniru Victoria Island Lagos,2,2,3,,2 BEDROOM BLOCK OF FLATS,
Orchid Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Agungi Lekki Lagos,2,2,3,,2 BEDROOM FLAT & APARTMENT,
