location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Walkable To Pen Cinema Bustop Pen Cinema Agege Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Gold Carden Estate Micon Akowonjo/egbeda Akowonjo Alimosho Lagos,2,2,,,Flat Apartment FOR Rent,2500000
"Off Toyin, Toyin Street Ikeja Lagos",2,2,,,Flat Apartment FOR Rent,4500000
Valley View Estate Egbeda Alimosho Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Issac John Ikeja Gra Ikeja Lagos,3,3,,,Flat Apartment FOR Rent,35000000
Very Close To Pen Cinema Bustop Agege Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Very Close To Pen Cinema Bustop Agege Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Shonibare Estate Ikeja Gra Ikeja Lagos,4,4,,,House FOR Rent,30000000
Ikeja Gra Ikeja Lagos,4,5,,,House FOR Rent,23000000
Adekunle Fajuyi Ikeja Gra Ikeja Lagos,,,,226,Land FOR Rent,1000000000
Akora Estate Adeniyi Jones Ikeja Lagos,,,,000,Land FOR Rent,700000000
River Valley Estate Ojodu Lagos,,,,000,Land FOR Rent,1200000000
Alausa Ikeja Lagos,,,,300,Land FOR Rent,800000000
Ikeja Gra Ikeja Lagos,,,,062,Land FOR Rent,1800000000
Aguda Surulere Lagos,2,2,,,Flat Apartment FOR Rent,4000000
Ajao Estate Isolo Lagos,1,,,,Flat Apartment FOR Rent,1200000
Gowon Estate Egbeda Alimosho Lagos,3,3,,,House FOR Rent,3000000
Off International Airport Road Ajao Estate Isolo Lagos,1,,,,Flat Apartment FOR Rent,2000000
Oke Ira Ogba Lagos,3,,,,Flat Apartment FOR Rent,5000000
Surulere Lagos,3,,,,Flat Apartment FOR Rent,6000000
Kilo Marsha Surulere Lagos,3,,,,Flat Apartment FOR Rent,5000000
Alaka Estate Surulere Lagos,3,,,,Flat Apartment FOR Rent,6000000
Magodo Gra Phase 2 Kosofe/ikosi Lagos,3,3,,,Flat / Apartment FOR SHORTLET,140000
Ikeja Gra Ikeja Lagos,3,3,,,Flat / Apartment FOR SHORTLET,210000
Omole Phase 2 Ojodu Lagos,5,,,,House FOR Rent,25000000
Awolowo Way Ikeja Lagos,,,,,Commercial Property FOR Rent,18000000
Allen Avenue Ikeja Lagos,9,,,,House FOR Rent,18000000
Ikeja Gra Ikeja Lagos,,,,300,Commercial Property FOR Rent,60000000
Omole Phase 2 Ojodu Lagos,5,5,,,House FOR Rent,15000000
"Mende, Maryland Maryland Lagos",4,4,,,House FOR Rent,13000000
"Puposola Road, New Oko Oba Abule Egba Lagos",,,,,Land FOR Rent,7000000
Ikeja Gra Ikeja Lagos,3,3,,,House FOR Rent,25000000
Gra Ikeja Lagos,5,5,,,House FOR Rent,28000000
"Ikeja Gra, Ikeja, Lagos Ikeja Gra Ikeja Lagos",6,6,,,House FOR Rent,30000000
"Ikeja, Lagos Ikeja Lagos",,,,,Commercial Property FOR Rent,30000000
Gbagada Lagos Gbagada Lagos,4,4,,,House FOR Rent,249000000
"Alimosho Lga, Egbe Ikotun Igando Lagos",,5,,,Commercial Property FOR Rent,30000
"Magodo Phase 2, Magodo Gra Phase 1 Ojodu Lagos",4,5,,,House FOR SALE,300000000
Shonny Highway Ikeja Gra Ikeja Lagos,3,3,,,Flat Apartment FOR Rent,15000000
