location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
"Maje,new Felele, Soka Ibadan Oyo",2,2,,,House FOR RENT,1500000/year
Ikate Lekki Lagos,3,3,,,House FOR Rent,10000000/year
Canaan Land Estate Life Camp Abuja,3,3,,,House FOR Rent,8000000/year
Close To Sunnyvale Estate Lokogoma Abuja,3,3,,,House FOR Rent,6000000/year
Oral Extension Estate Oral Estate Lekki Lagos,1,1,,,Flat Apartment FOR Rent,3500000/year
Royal Pine Estate Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,4000000/year
Ikate Lekki Lagos,1,1,,,Flat Apartment FOR Rent,3500000/year
Emcel Garden Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,1300000/year
Lekki Phase 1 Lekki Lagos,1,1,,,Flat Apartment FOR Rent,5000000/year
Maple Estate Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,700000/year
"An Estate Opposite Sunnyvale Estate, Lokogoma Abuja",3,3,,,House FOR SALE,180000000
Victoria Bay Estate Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,1500000/year
Ikate Lekki Lagos,1,1,,,Flat Apartment FOR Rent,3000000/year
Emcel Garden Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,1800000/year
Royal Pine Estate Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,1600000/year
Mobolaji Johnson Street Old Ikoyi Ikoyi Lagos,2,3,,,Flat Apartment FOR Rent,20000000/year
Phase 1 Estate Osborne Foreshore Estate Ikoyi Lagos,4,4,,,House FOR Rent,40000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,55000000/year
Southwest Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,$
Louis Solomon Close Victoria Island Lagos,,,,,Commercial Property FOR Rent,550000/sqm
Victoria Island Victoria Island Lagos,,,,,Commercial Property FOR Rent,$
Victoria Island Lagos,,,,,Commercial Property FOR Rent,150000000/year
Banana Island Estate Banana Island Ikoyi Lagos,3,3,,,Flat / Apartment FOR RENT,49900000/year
Wuse 2 Abuja,,,,,Commercial Property FOR Rent,10000000/year
"Alimosho Lga, Egbe Ikotun Igando Lagos",,5,,,Commercial Property FOR Rent,30000/sqm
Walter Carrington Crescent Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,$
Infinity Estate Ado Ajah Lagos,2,3,,,Flat Apartment FOR Rent,3000000/year
Royal Palmwill Estate Badore Ajah Lagos,3,4,,,House FOR Rent,3500000/year
"Life Camp By Stella Maris School, Life Camp Abuja Life Camp Abuja",1,1,,,Flat Apartment FOR Rent,6500000/year
Victoria Island Lagos,3,4,,,Flat Apartment FOR Rent,35000000/year
Ikoyi Lagos,1,2,,,Flat Apartment FOR Rent,15000000/year
Banana Island Ikoyi Lagos,4,5,,,Flat Apartment FOR Rent,65000000/year
Jericho Estate Ibadan Oyo,4,5,,,House FOR SALE,250000000
Lekki Phase 1 Lekki Lagos,4,5,,,Flat Apartment FOR Rent,20000000/year
Victoria Island Lagos,3,4,,,Flat Apartment FOR Rent,45000000/year
Admiralty Road Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,6000000/year
Hopeville Estate Sangotedo Ajah Lagos,2,2,,,House FOR Rent,3000000/year
Aguda Surulere Lagos,2,2,,,Flat Apartment FOR Rent,4000000/year
Ajao Estate Isolo Lagos,1,,,,Flat Apartment FOR Rent,1200000/year
Old Ikoyi Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,20000000/year
Lakowe Ajah Lagos,2,,,,Flat Apartment FOR Rent,1500000/year
Gowon Estate Egbeda Alimosho Lagos,3,3,,,House FOR Rent,3000000/year
Off International Airport Road Ajao Estate Isolo Lagos,1,,,,Flat Apartment FOR Rent,2000000/year
"Chevron Alternative Route, Chevron Lekki Lagos",2,2,,,Flat Apartment FOR Rent,7000000/year
Off Ninalowo Olarenwaju Street Lekki Phase 1 Lekki Lagos,4,4,,,House FOR RENT,25000000/year
Bridgegate Estate Agungi Lekki Lagos,2,,,,Flat Apartment FOR Rent,5000000/year
Orchid Road Orchid Lekki Lagos,1,,,,Flat Apartment FOR Rent,1400000/year
Ikota Lekki Lagos,5,,,,House FOR Rent,27000000/year
Chevron Lekki Lagos,4,,,,House FOR Rent,10000000/year
Osapa London Lekki Lagos,3,,,,House FOR Rent,5000000/year
"Novojo Estate, Sangotedo Ajah Lagos",1,1,,,Flat Apartment FOR Rent,4500000/year
Eleganza Garden Opposite Vgc Lekki Lagos,2,2,,,Flat Apartment FOR Rent,4000000/year
"Ayo Babatunde Street, Lekki Phase 1 Lekki Lagos",3,3,,,Flat Apartment FOR Rent,15000000/year
"Off Admiralty Way, Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",4,4,,,House FOR Rent,25000000/year
Parkview Estate Ikoyi Lagos,3,3,,,Flat / Apartment FOR SHORTLET,200000/day
"Lekki Phase 1, Lagos. Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,30000000/year
Lekki Phase 1 Lekki Lagos,3,3,,,Flat Apartment FOR Rent,8000000/year
"Directly Facing A Busy Road @ Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,3500000/year
"By Admiralty, Lekki Phase 1 Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,10000000/year
"Close To Admiralty Way, Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",3,3,,,House FOR Rent,30000000/year
"Off Admiralty Way, Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,4000000/year
On A Prime Road @ Lekki Phase 1 Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,12000000/year
Facing A Busy Commercial Road @ Lekki Phase 1 Lekki Phase 1 Lekki Lagos,,,,,Commercial Property FOR Rent,14000000/year
"Directly Facing A Busy Road @ Lekki Phase 1, Lagos Lekki Phase 1 Lekki Lagos",,,,,Commercial Property FOR Rent,7500000/year
Macaulay Igbogbo Ikorodu Lagos,,,,,Flat Apartment FOR Rent,350000/year
"Road 6, Agunfoye Junction Igbogbo Ikorodu Lagos",1,1,,,Flat Apartment FOR Rent,500000/year
"Maje,new Felele, Soka Ibadan Oyo",2,2,,,House FOR RENT,1500000/year
Adekunle Fajuyi Ikeja Gra Ikeja Lagos,,,,226,Land FOR Rent,1000000000/year
"Olumo,oreyo Igbogbo Ikorodu Lagos",1,1,,,Flat Apartment FOR Rent,300000/year
Fawole Estate Igbogbo Ikorodu Lagos,1,1,,,Flat Apartment FOR Rent,700000/year
Akora Estate Adeniyi Jones Ikeja Lagos,,,,000,Land FOR Rent,700000000/year
River Valley Estate Ojodu Lagos,,,,000,Land FOR Rent,1200000000/sqm
Ikeja Gra Ikeja Lagos,,,,062,Land FOR Rent,1800000000/year
Alausa Ikeja Lagos,,,,300,Land FOR Rent,800000000/year
Wagbare Igbogbo Ikorodu Lagos,3,3,,,Flat Apartment FOR Rent,1000000/year
Oreyo Igbogbo Ikorodu Lagos,1,1,,,Flat Apartment FOR Rent,650000/year
Lekki Phase 1 Lekki Lagos,2,2,,,House FOR SHORTLET,5000000/month
"Odo Ona Elewe, Orita Challenge Ibadan Oyo",,,,,Commercial Property FOR Rent,3000000/year
Apata Ibadan Oyo,,,,500,Commercial Property FOR Rent,3000000/year
Fodaic Adeoyo Hospital Road Ibadan Oyo,,,,,Commercial Property FOR Rent,5000000/year
"Akala Express, Ibadan Oyo",,,,,Commercial Property FOR Rent,1200000/year
Bodija Ibadan Oyo,2,2,,,Flat Apartment FOR Rent,3200000/year
Apata Ibadan Oyo,3,,,,Flat Apartment FOR Rent,1200000/year
Apete Ibadan Oyo,,,,,Flat Apartment FOR Rent,300000/year
Agungi Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,10000000/year
Lekki Phase 1 Lekki Lagos,2,2,,,Flat Apartment FOR Rent,15000000/year
Osapa London Lekki Lagos,4,4,,,House FOR Rent,15000000/year
Lekki Phase 1 Lekki Lagos,2,2,,,Flat / Apartment FOR RENT,200000/day
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,9500000/year
Orchid Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,11000000/year
Ikoyi Lagos,4,4,,,House FOR Rent,35000000/year
Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,15000000/year
Vgc Lekki Lagos,4,4,,,House FOR Rent,8500000/year
Igbo Efon Lekki Lagos,5,5,,,House FOR Rent,25000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,6000000/year
Van Daniel Estate Orchid Lekki Lagos,1,1,,,Flat Apartment FOR Rent,2500000/year
Ikate Lekki Lagos,5,5,,,House FOR SALE,900000000
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,30000000/year
Phase 1 Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,25000000/year
Victoria Island Lagos,3,3,,,Flat Apartment FOR Rent,12000000/year
